User Id,Course Id,Cummulative Time,Age,Recommended Age,Age Difference,Start Time,Last Event,Act Days,Absence Days,Quiz Average,Lessons Completed,Quiz Average Timespent,Average Login 2W,Course_Difficulty ,Prerequisites,survival_percentage
21373,1743,2580,12,12,0,1628627025,1628811437,2,0,80,1,169.04,2,0,1,0.285714286
21411,1743,29820,12,12,0,1628535827,1628875639,5,0,62.18,10,112.85,5,0,1,0.65
20249,1743,45600,12,12,0,1654897726,1654897725,19,0,57.13,5,131.21,19,0,1,0.65
21254,1743,5700,12,12,0,1628103351,1629235120,2,11,80,1,240.6,2,0,1,0.285714286
21192,1743,53400,12,12,0,1627949297,1650573378,9,253,69.27,7,318.02,9,0,1,0.65
17597,1743,26700,12,12,0,1627409377,1631662649,10,39,57.84,10,143.39,10,0,1,0.65
16866,1743,21780,12,12,0,1626044232,1644508368,18,196,65.69,10,172.34,18,0,1,0.65
20690,1743,11520,12,12,0,1626032264,1628743607,4,27,62.73,4,446.9,4,0,1,0.45
20680,1743,6180,12,12,0,1625938758,1627059021,9,4,54.63,9,63.1,9,0,1,0.45
20644,1743,26760,12,12,0,1625788359,1633042173,12,72,75.68,4,209.89,12,0,1,1
20612,1743,36360,12,12,0,1634209248,1634209248,9,0,59.55,6,196.67,9,0,1,0.65
20493,1743,27960,12,12,0,1625612945,1633722247,8,86,53.75,3,227.83,8,0,1,0.65
20454,1743,19800,12,12,0,1625580184,1631374391,12,55,68.11,6,136.31,12,0,1,0.65
20479,1743,35640,12,12,0,1625341218,1627070883,14,6,85.39,10,141.89,14,0,1,1
20463,1743,46080,12,12,0,1625168358,1641318833,17,170,40.31,4,95.08,17,0,1,0.65
20430,1743,18900,12,12,0,1625145563,1634424709,11,96,69.38,10,159.62,11,0,1,0.65
20431,1743,7500,12,12,0,1625107717,1634425212,5,103,58.67,4,119.39,5,0,1,0.45
20433,1743,33300,12,12,0,1624935306,1636237092,14,117,49.45,10,148.14,14,0,1,0.65
20429,1743,9240,12,12,0,1624923280,1624994429,2,0,100,1,204.69,2,0,1,0.285714286
20428,1743,1800,12,12,0,1624923026,1630084000,2,58,80,1,311.87,2,0,1,0.285714286
20423,1743,14280,12,12,0,1624912788,1625063171,2,0,70,3,251.72,2,0,1,0.285714286
20209,1743,11340,12,12,0,1624568344,1627423025,8,25,85,2,173.95,8,0,1,0.45
20300,1743,46500,12,12,0,1624422759,1654124384,29,315,70.78,10,189.14,29,0,1,1
20111,1743,2820,12,12,0,1623855751,1626186854,3,24,90,2,199.28,3,0,1,0.428571429
20102,1743,14820,12,12,0,1632762782,1647908052,8,167,69.12,10,195.44,8,0,1,0.45
19930,1743,37020,12,12,0,1623688321,1630803784,10,72,81.82,6,123.25,10,0,1,1
20041,1743,27000,12,12,0,1623454193,1625790725,9,18,76.65,10,133.04,9,0,1,1
20006,1743,7080,12,12,0,1623289960,1626579938,5,33,100,1,172.94,5,0,1,0.45
19984,1743,3840,12,12,0,1623261032,1623352690,2,0,80,1,517.01,2,0,1,0.285714286
19983,1743,7200,12,12,0,1623260189,1623273469,1,0,95,1,102.45,1,0,1,0.142857143
19865,1743,26520,12,12,0,1623101597,1655410968,12,362,80.23,5,128.2,12,0,1,1
18248,1743,20160,12,12,0,1622997431,1630882355,10,81,64.29,3,307.79,10,0,1,0.65
19849,1743,43080,12,12,0,1622946994,1632016681,9,96,73.32,10,169.79,9,0,1,1
19841,1743,9660,12,12,0,1622914095,1641846427,9,210,52,3,77.46,9,0,1,0.45
19825,1743,63720,12,12,0,1622838839,1625164755,15,12,64.07,10,108.61,15,0,1,0.65
19817,1743,27780,12,12,0,1622774325,1631564454,14,88,66.67,10,129.22,14,0,1,0.65
19784,1743,116940,12,12,0,1622766450,1626299790,9,32,66.11,10,202.97,9,0,1,0.65
19775,1743,1740,12,12,0,1622528936,1625960731,2,38,42.61,4,22.61,2,0,1,0.285714286
19748,1743,1200,12,12,0,1622412118,1622581098,2,0,70,1,152.09,2,0,1,0.285714286
19723,1743,13800,12,12,0,1622298392,1626523861,7,42,66,3,291.47,7,0,1,0.45
19702,1743,23880,12,12,0,1622214389,1624291014,9,15,77.65,10,359.34,9,0,1,0.65
19701,1743,26220,12,12,0,1622213937,1624291009,9,15,84.65,10,228.14,9,0,1,1
19607,1743,94140,12,12,0,1622203903,1624975365,14,18,78.6,10,277.43,14,0,1,1
19657,1743,5940,12,12,0,1622147135,1625250416,5,31,62,3,230.88,5,0,1,0.45
19603,1743,21060,12,12,0,1622058465,1638223603,14,173,58.75,3,182.69,14,0,1,0.65
19439,1743,10740,12,12,0,1621876475,1622559455,6,2,70,1,304.11,6,0,1,0.45
19477,1743,11040,12,12,0,1621617054,1623172928,3,15,95,2,278.03,3,0,1,0.428571429
19435,1743,7920,12,12,0,1621471716,1635658915,3,161,65,1,131.63,3,0,1,0.428571429
23487,3917,14280,12,12,0,1659317756,1662827354,3,38,75.83,8,202.05,3,1,2,0.3
23471,3917,11460,12,12,0,1659033895,1669242153,7,111,56.25,1,531.16,7,1,2,0.45
23362,3917,420,12,12,0,1649906220,1652926648,2,33,40,1,173.21,2,1,2,0.2
23233,3917,4020,12,12,0,1645421308,1672178600,3,307,90,1,283.98,3,1,2,0.3
23270,3917,12240,12,12,0,1645156745,1672786793,7,313,65,2,357.44,7,1,2,0.45
22416,3917,21840,12,12,0,1638234743,1652908593,12,158,38.68,8,54.46,12,1,2,0.65
22367,3917,7800,12,12,0,1636916564,1638124806,4,10,61.25,2,350.99,4,1,2,0.4
22197,3917,3180,12,12,0,1635985142,1636589322,3,4,40,1,283.01,3,1,2,0.3
22133,3917,39420,12,12,0,1635388409,1645459757,13,104,51.33,5,410.92,13,1,2,0.65
22114,3917,8940,12,12,0,1635338327,1636682746,4,12,46.67,2,413.53,4,1,2,0.4
22007,3917,11940,12,12,0,1634729062,1643848360,7,99,72.5,1,216.61,7,1,2,0.45
21859,3917,4920,12,12,0,1633896609,1634082282,2,0,32.5,1,364.08,2,1,2,0.2
21806,3917,1020,12,12,0,1630710210,1650671208,3,228,51.67,1,275.61,3,1,2,0.3
21764,3917,26040,12,12,0,1629862783,1633734353,14,31,75.65,8,405.42,14,1,2,1
21602,3917,3960,12,12,0,1629658264,1650216112,6,232,56.25,2,427.3,6,1,2,0.45
21192,3917,25680,12,12,0,1627949301,1654014955,5,297,70,2,329.38,5,1,2,0.5
20417,3917,50280,12,12,0,1626563057,1633293042,8,70,95,2,1199.62,8,1,2,0.8
20785,3917,36240,12,12,0,1626548193,1627671054,10,3,66.54,8,446.14,10,1,2,0.65
20786,3917,19440,12,12,0,1626547779,1642949020,8,182,63.33,3,340.06,8,1,2,0.65
18006,3917,43680,12,12,0,1626461579,1628103830,7,12,50,1,783.16,7,1,2,0.65
20637,3917,4800,12,12,0,1626032739,1630960738,2,55,90,1,471.41,2,1,2,0.2
20618,3917,15780,12,12,0,1626013262,1640702269,5,165,60.83,2,447.92,5,1,2,0.45
20493,3917,15060,12,12,0,1625612952,1630019148,4,47,45,1,605.32,4,1,2,0.4
19784,3917,123780,12,12,0,1625524338,1627679982,12,13,55.94,8,411.98,12,1,2,0.65
19681,3917,38700,12,12,0,1624224833,1629307888,35,24,57.86,6,433.75,35,1,2,0.65
19746,3917,3720,12,12,0,1622557697,1625162036,3,27,75,1,335.86,3,1,2,0.3
19758,3917,16140,12,12,0,1622489780,1661205377,9,439,54.44,2,313.55,9,1,2,0.65
19439,3917,20280,12,12,0,1621876477,1625693450,6,38,78.33,2,1297.1,6,1,2,0.6
18518,3917,15600,12,12,0,1619557647,1619815624,4,0,86.67,3,516.82,4,1,2,0.4
17955,3917,47400,12,12,0,1618690028,1628013343,9,99,72.5,2,1011.43,9,1,2,0.9
17180,3917,12240,12,12,0,1617395058,1627521333,5,112,75,1,316.94,5,1,2,0.45
16557,3917,4440,12,12,0,1617068882,1624550574,3,84,70,1,317.17,3,1,2,0.3
23487,4103,39600,12,12,0,1662828711,1669069954,11,61,76.26,8,231.98,11,2,2,0.785714286
23470,4103,35640,12,12,0,1657808938,1662153429,7,43,50.21,5,288.92,7,2,2,0.5
23327,4103,26940,12,12,0,1657753472,1659102513,3,13,64.1,2,240.49,3,2,2,0.46
23445,4103,5700,12,12,0,1656116504,1656198179,1,0,92.31,1,752.42,1,2,2,0.071428571
23303,4103,67500,12,12,0,1646091583,1672180228,14,288,70.56,5,281.96,14,2,2,1
23079,4103,34260,12,12,0,1639693229,1660703887,14,229,56.49,7,163.91,14,2,2,0.65
22112,4103,4980,12,12,0,1635553273,1636428092,2,8,60,1,401.36,2,2,2,0.142857143
22113,4103,8700,12,12,0,1635385238,1637769629,3,25,53.42,2,359.12,3,2,2,0.214285714
22129,4103,5520,12,12,0,1635379750,1637024928,5,14,58.54,2,371.19,5,2,2,0.357142857
22029,4103,10920,12,12,0,1635016992,1637437610,5,23,71.8,1,151.01,5,2,2,0.357142857
21764,4103,30900,12,12,0,1629862781,1653609261,19,256,67.72,8,155.65,19,2,2,0.65
21479,4103,49080,12,12,0,1629002687,1632713160,10,33,70.24,3,341.51,10,2,2,0.714285714
21288,4103,32040,12,12,0,1628087081,1636126861,9,84,74.49,3,351.3,9,2,2,0.66
17597,4103,5820,12,12,0,1627409082,1633805425,7,67,84.62,1,243.29,7,2,2,0.45
20611,4103,3720,12,12,0,1625729473,1627236436,2,15,50,1,32.46,2,2,2,0.142857143
20340,4103,31020,12,12,0,1625676841,1642564028,9,186,75.02,2,419.84,9,2,2,0.66
20137,4103,47100,12,12,0,1624923576,1636684949,10,126,80.04,3,188.94,10,2,2,0.714285714
20225,4103,2400,12,12,0,1624318521,1628280153,2,44,92.31,1,225.72,2,2,2,0.142857143
19784,4103,46260,12,12,0,1622766443,1623791657,5,7,61.16,8,264.55,5,2,2,0.46
19812,4103,3420,12,12,0,1622748419,1623176373,3,2,92.31,1,185.21,3,2,2,0.214285714
19749,4103,14760,12,12,0,1626895414,1645820141,18,201,53.29,5,71.77,18,2,2,0.45
19607,4103,49980,12,12,0,1622052673,1628709777,11,66,64.96,5,258.14,11,2,2,0.65
19477,4103,43320,12,12,0,1621617057,1648615134,10,302,68.92,2,2033.62,10,2,2,0.65
19468,4103,16560,12,12,0,1621562034,1622567102,4,8,69.23,1,255.76,4,2,2,0.46
17971,4103,5700,12,12,0,1618962444,1619298464,3,1,84.62,1,512.29,3,2,2,0.214285714
23449,6141,37980,12,12,0,1656184809,1666103249,8,107,54.17,2,294.55,8,3,3,0.46
23421,6141,84420,12,12,0,1654125623,1658769969,20,34,52.69,10,221.21,20,3,3,0.65
22395,6141,43500,12,12,0,1637214143,1640819533,9,33,51.53,10,120.96,9,3,3,0.5
22339,6141,37080,12,12,0,1636720001,1644026408,8,77,45,2,859.5,8,3,3,0.46
22213,6141,8040,12,12,0,1636255037,1637125806,3,7,75,1,1081.14,3,3,3,0.166666667
22112,6141,48180,12,12,0,1635553273,1636943300,10,6,58.26,10,192.21,10,3,3,0.555555556
22113,6141,19260,12,12,0,1635385237,1636774242,6,10,56.19,10,428.03,6,3,3,0.46
22029,6141,9180,12,12,0,1635016991,1638133519,3,33,80,1,234.68,3,3,3,0.166666667
21479,6141,29220,12,12,0,1629002686,1629404279,3,2,83.75,2,176.07,3,3,3,0.66
20643,6141,17160,12,12,0,1625788835,1629067543,9,29,86,2,232.31,9,3,3,0.5
20611,6141,18180,12,12,0,1625729472,1627686748,7,16,60,3,42.43,7,3,3,0.46
20340,6141,23520,12,12,0,1625676841,1626899814,7,7,52.5,1,651,7,3,3,0.46
19784,6141,37980,12,12,0,1625524323,1634439690,7,96,70,1,146.36,7,3,3,0.46
20225,6141,10620,12,12,0,1624318509,1629851749,5,59,80,1,306.46,5,3,3,0.277777778
20175,6141,96480,12,12,0,1624295042,1640640355,25,164,48.49,10,384.5,25,3,3,0.65
20128,6141,6300,12,12,0,1623959638,1627597190,4,38,63.75,1,491.85,4,3,3,0.222222222
20120,6141,127140,12,12,0,1623888258,1630715673,24,55,80.41,7,505.32,24,3,3,1
19984,6141,17880,12,12,0,1623261028,1626743314,6,34,82.5,1,230.23,6,3,3,0.46
19812,6141,19260,12,12,0,1622748418,1623430219,5,3,85,1,171.78,5,3,3,0.46
19807,6141,10080,12,12,0,1622668320,1651782052,8,329,64.71,3,695.56,8,3,3,0.444444444
19782,6141,47820,12,12,0,1622568120,1629079397,11,64,82,2,193.13,11,3,3,0.66
19772,6141,17700,12,12,0,1622519160,1626324996,5,39,80,1,571.98,5,3,3,0.46
19553,6141,9060,12,12,0,1622490702,1628640015,8,63,85,1,520.33,8,3,3,0.444444444
17234,6141,180300,12,12,0,1617833049,1628960153,31,98,73.75,9,1449.01,31,3,3,1
15851,6141,76680,12,12,0,1614756159,1645719377,16,342,50.86,10,224.47,16,3,3,0.65
23487,30681,24840,12,12,0,1664156165,1672687403,7,92,72.22,3,168.89,7,1,1,0.65
23233,30681,41400,12,12,0,1659468709,1672786110,13,141,77.33,4,822.52,13,1,1,1
23433,30681,8820,12,12,0,1656226878,1656250589,2,0,68.34,2,133.98,2,1,1,0.2
23303,30681,31140,12,12,0,1654548439,1656456190,6,16,76.67,3,162.05,6,1,1,0.66
23079,30681,18960,12,12,0,1652234742,1655242758,5,30,53.67,8,163.9,5,1,1,0.5
23181,30681,9600,12,12,0,1644193968,1646344885,4,21,71.43,1,143.75,4,1,1,0.4
19865,30681,2460,12,12,0,1640640397,1640712366,2,0,85.72,1,108.86,2,1,1,0.2
23120,30681,22740,12,12,0,1640387509,1642940210,5,25,84.05,5,209.37,5,1,1,0.5
22460,30681,1440,12,12,0,1639857699,1642274024,2,26,46.43,2,70.72,2,1,1,0.2
21192,30681,15000,12,12,0,1632506711,1643148759,4,119,75,2,237.55,4,1,1,0.4
20785,30681,7380,12,12,0,1628859563,1629293923,3,2,63.57,3,233.4,3,1,1,0.3
20931,30681,4260,12,12,0,1626847730,1629659780,4,29,66.67,1,170.62,4,1,1,0.4
20266,30681,3600,12,12,0,1624379143,1624407107,2,0,40,1,215.91,2,1,1,0.2
19818,30681,30480,12,12,0,1624302296,1627331828,6,29,69.73,2,201.11,6,1,1,0.6
20142,30681,67620,12,12,0,1624138209,1655046847,15,343,63.56,6,211.27,15,1,1,0.65
19694,30681,20400,12,12,0,1624036901,1626544336,4,25,63.33,1,185.05,4,1,1,0.46
20055,30681,9660,12,12,0,1623647621,1651199653,3,316,83.1,2,100.59,3,1,1,0.3
19751,30681,8460,12,12,0,1623031322,1643426148,3,233,85.71,1,185.75,3,1,1,0.3
18120,30681,5400,12,12,0,1626124380,1626127892,2,0,83.34,1,128.2,2,1,1,0.2
19772,30681,11040,12,12,0,1622519407,1624920309,3,25,90,1,133.25,3,1,1,0.3
19749,30681,15900,12,12,0,1623256100,1626895189,14,28,61.74,8,124.79,14,1,1,0.45
19678,30681,10620,12,12,0,1622158455,1623105849,5,6,81.67,1,128.53,5,1,1,0.45
18633,30681,26520,12,12,0,1621222019,1624232403,7,28,82.86,2,917.85,7,1,1,0.7
18723,30681,39420,12,12,0,1621101482,1622412814,11,4,63.85,8,153.79,11,1,1,0.65
16927,30681,9660,12,12,0,1617815404,1617893905,2,0,68.89,1,130.79,2,1,1,0.2
16248,30681,19200,12,12,0,1616311019,1621186510,6,50,58.16,2,92.05,6,1,1,0.6
